CÓDIGO ;CALLE ;NÚMERO ;LOCALIDAD ;PROVINCIA ;HORARIOS 
QSP;9 DE JULIO;1;VILLA DOS TRECE;FORMOSA;LUN A SAB 08.00 A 12.00 / LUN A SAB 16.00 A 20.00
QZB;ESPAÑA;1835;BARRANQUERAS;CHACO;LUN A SAB 08.00 A 12.00 / LUN A SAB 17.00 A 20.00
RBA;JUNIN;1212;CORRIENTES;CORRIENTES;LUN A SAB 08.00 A 13.00 / LUN A SAB 17.00 A 21.00
RBC;ALFONSIN PRESIDENTE RAUL;3525;CORRIENTES;CORRIENTES;LUN A SAB 10.00 A 22.00
SDC;LOPEZ BRIGADIER ESTANISLAO;1240;AREQUITO;SANTA FE;LUN A VIE 08.00 A 12.00
NXB;LOS CONDORES;0;VILLA PEHUENIA;NEUQUEN;LUN A VIE 09.30 A 13.00 / LUN A VIE 17.00 A 20.00 / SAB 09.30 A 13.00
NYB;AV DEL TRABAJADOR 709-FARMACIA PIONEROS;0;RINCON LAS PERLAS;RIO NEGRO;LUN A VIE 10.00 A 17.00 / SAB 10.00 A 19.00
NZD;CABILDO;2230;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 12.00 A 17.00
ABA;DEAN FUNES GREGORIO;160;SALTA;SALTA;LUN A VIE 08.00 A 18.00 / SAB 08.00 A 14.00
ADV;LOPEZ Y PLANES VICENTE;402;SAN RAMON DE LA NUEVA ORAN;SALTA;LUN A VIE 08.00 A 15.00
AEZ;GUEMES GENERAL MARTIN MIGUEL DE;501;TARTAGAL;SALTA;LUN A VIE 08.00 A 15.00
CG2;CAMPOS INTENDENTE ALBERTO MANUEL;1951;GENERAL SAN MARTIN;BUENOS AIRES;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CG1;CAZON DANIEL M;1140;TIGRE;BUENOS AIRES;LUN A VIE 11.00 A 18.00
DHC;DEL LIBERTADOR;1202;VICENTE LOPEZ;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CF2;PARANA;6001;VILLA ADELINA;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CGI;LOPEZ VICENTE FIDEL;3044;VILLA GENERAL JOSE TOMAS GUIDO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CFE;LAPRIDA FRANCISCO NARCISO DE;3586;VILLA MARTELLI;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CGK;PERON EVA;9718;LOMA HERMOSA;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CFX;SANTA FE;766;ACASSUSO;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CK1;CASEROS;1750;DON BOSCO;BUENOS AIRES;LUN A VIE 10.00 A 18.00 / SAB 10.00 A 13.00
CFZ;PERON PRESIDENTE JUAN DOMINGO;2579;VICTORIA;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CF1;SAN MARTIN GENERAL JOSE DE;2849;FLORIDA;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CF6;DE LOS CONSTITUYENTES;532;GENERAL PACHECO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CGU;LIBANO REPUBLICA DEL;4041;VILLA LYNCH;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CF8;MAIPU;2683;OLIVOS;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CFF;MAIPU;438;FLORIDA;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CG0;PERON PRESIDENTE JUAN DOMINGO;438;SAN FERNANDO;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CG4;BELGRANO MANUEL;1398;SAN MIGUEL;BUENOS AIRES;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CG3;MORON SENADOR;1090;BELLA VISTA;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CFJ;MARADONA DIEGO ARMANDO;2384;BOULOGNE;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
BY1;ROCA PRESIDENTE GENERAL JULIO ARGENTINO;1008;HURLINGHAM;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CG6;SAENZ PEÑA ROQUE;5009;JOSE C PAZ;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CF3;ALVEAR ANGEL TORCUATO DE;1626;DON TORCUATO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CG8;MADERO INGENIERO;1395;DEL VISO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CF4;RIVADAVIA COMODORO MARTIN;2645;LOS POLVORINES;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CG7;PERON TENIENTE GENERAL JUAN DOMINGO;22;TORTUGUITAS;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CJV;MITRE PRESIDENTE BARTOLOME;1899;CRUCESITA;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CJ5;BROWN ALMIRANTE GUILLERMO;1298;ADROGUE;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CF9;ALSINA;102;SAN ISIDRO;BUENOS AIRES;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CJ9;BELGRANO DOCTOR MANUEL;390;AVELLANEDA;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CK5;15;4751;BERAZATEGUI;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CK6;ESPAÑA;3212;FLORENCIO VARELA;BUENOS AIRES;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CIT;YRIGOYEN PRESIDENTE HIPOLITO;2317;GERLI;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CI3;ROSAS BRIGADIER GENERAL JUAN MANUEL DE;6801;ISIDRO CASANOVA;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CJ0;O HIGGINS GENERAL BERNARDO;2055;LANUS ESTE;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CH9;ROSAS BRIGADIER GENERAL JUAN MANUEL DE;691;LOMAS DEL MIRADOR;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CJ1;YRIGOYEN PRESIDENTE HIPOLITO;6133;REMEDIOS DE ESCALADA;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CL0;ALMAFUERTE;3171;SAN JUSTO;BUENOS AIRES;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CI4;CROVARA INTENDENTE ESTEBAN JUAN S;3035;LA TABLADA;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CRC;EVITA;13;CIUDAD MADERO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CJ3;BROWN ALMIRANTE GUILLERMO;3394;TEMPERLEY;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CI9;FARREL JUAN;664;VALENTIN ALSINA;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
